Name	Status	Kreis	Einwohner Schätzung 1995-12-31	Einwohner Schätzung 2001-12-31	Einwohner Zensus 2011-05-09	Einwohner Schätzung 2019-12-31
Aachen	Stadt	Städteregion Aachen	247923	245778	236420	248960
Ahaus	Stadt	Borken	34708	37533	38331	39381
Ahlen	Stadt	Warendorf	55785	55481	52280	52503
Aldenhoven	Gemeinde	Düren	13247	13911	13740	13787
Alfter	Gemeinde	Rhein-Sieg-Kreis	19351	21350	22839	23563
Alpen	Gemeinde	Wesel	12235	12651	12747	12479
Alsdorf	Stadt	Städteregion Aachen	46147	46344	46567	47149
Altena	Stadt	Märkischer Kreis	24026	21831	18218	16718
Altenbeken	Gemeinde	Paderborn	8571	9638	9296	9113
Altenberge	Gemeinde	Steinfurt	8445	9640	9999	10327
Anröchte	Gemeinde	Soest	10429	10877	10422	10238
Arnsberg	Stadt	Hochsauerlandkreis	78972	77396	74383	73456
Ascheberg	Gemeinde	Coesfeld	13965	14923	15103	15494
Attendorn	Stadt	Olpe	23888	24688	24463	24264
Augustdorf	Gemeinde	Lippe	9607	10168	9649	10032
Bad Berleburg	Stadt	Siegen-Wittgenstein	21289	21135	19754	18914
Bad Driburg	Stadt	Höxter	19122	19608	18639	18959
Bad Honnef	Stadt	Rhein-Sieg-Kreis	24462	25038	24523	25812
Bad Laasphe	Stadt	Siegen-Wittgenstein	15574	15395	14186	13504
Bad Lippspringe	Stadt	Paderborn	14566	14835	14968	16237
Bad Münstereifel	Stadt	Euskirchen	17718	18560	17451	17440
Bad Oeynhausen	Stadt	Minden-Lübbecke	49014	49850	48623	48604
Bad Salzuflen	Stadt	Lippe	55029	55088	52285	54254
Bad Sassendorf	Gemeinde	Soest	10800	11312	11478	12065
Bad Wünnenberg	Stadt	Paderborn	11670	12221	12105	12152
Baesweiler	Stadt	Städteregion Aachen	25707	27485	26363	27093
Balve	Stadt	Märkischer Kreis	11967	12183	11789	11201
Barntrup	Stadt	Lippe	9616	9651	9042	8501
Beckum	Stadt	Warendorf	38166	38018	36116	36815
Bedburg	Stadt	Rhein-Erft-Kreis	23219	24457	23037	23658
Bedburg-Hau	Gemeinde	Kleve	12315	12361	12609	12955
Beelen	Gemeinde	Warendorf	5800	6249	6284	6125
Bergheim	Stadt	Rhein-Erft-Kreis	60610	63591	58922	61601
Bergisch Gladbach	Stadt	Rheinisch-Bergischer Kreis	105478	105569	108878	111846
Bergkamen	Stadt	Unna	51838	52955	49011	48740
Bergneustadt	Stadt	Oberbergischer Kreis	20772	20809	18799	18677
Bestwig	Gemeinde	Hochsauerlandkreis	12148	12000	11430	10623
Beverungen	Stadt	Höxter	15703	15506	13867	13103
Bielefeld	Kreisfreie Stadt	Bielefeld	324066	323373	326870	334195
Billerbeck	Stadt	Coesfeld	10719	11377	11460	11597
Blankenheim	Gemeinde	Euskirchen	8292	8770	8646	8268
Blomberg	Stadt	Lippe	16786	17560	15721	15115
Bocholt	Stadt	Borken	70424	72701	71256	71113
Bochum	Kreisfreie Stadt	Bochum	400395	390087	362286	365587
Bönen	Gemeinde	Unna	18817	19349	18018	18171
Bonn	Kreisfreie Stadt	Bonn	291431	306016	305765	329673
Borchen	Gemeinde	Paderborn	12338	13085	13181	13393
Borgentreich	Stadt	Höxter	9743	9820	9133	8543
Borgholzhausen	Stadt	Gütersloh	8463	8759	8718	8968
Borken	Stadt	Borken	38675	40582	41614	42629
Bornheim	Stadt	Rhein-Sieg-Kreis	40180	46304	46207	48321
Bottrop	Kreisfreie Stadt	Bottrop	120642	120780	117311	117565
Brakel	Stadt	Höxter	17493	17840	16853	16137
Breckerfeld	Stadt	Ennepe-Ruhr-Kreis	8892	9250	9064	8943
Brilon	Stadt	Hochsauerlandkreis	27258	27320	25909	25451
Brüggen	Gemeinde	Viersen	14929	15877	15489	15745
Brühl	Stadt	Rhein-Erft-Kreis	43653	43850	43568	44126
Bünde	Stadt	Herford	43186	44749	45497	45187
Burbach	Gemeinde	Siegen-Wittgenstein	14807	15076	14502	14856
Büren	Stadt	Paderborn	21619	22194	21724	21515
Burscheid	Stadt	Rheinisch-Bergischer Kreis	18289	19293	18078	18346
Castrop-Rauxel	Stadt	Recklinghausen	79160	78471	74629	73343
Coesfeld	Stadt	Coesfeld	34747	36264	35815	36257
Dahlem	Gemeinde	Euskirchen	4161	4277	4196	4215
Datteln	Stadt	Recklinghausen	37712	37210	34481	34596
Delbrück	Stadt	Paderborn	27700	29429	30414	31989
Detmold	Stadt	Lippe	73343	73771	73743	74254
Dinslaken	Stadt	Wesel	69148	71005	67853	67373
Dörentrup	Gemeinde	Lippe	8587	8824	8229	7680
Dormagen	Stadt	Rhein-Kreis Neuss	61155	63295	62208	64340
Dorsten	Stadt	Recklinghausen	80735	81293	76860	74704
Dortmund	Kreisfreie Stadt	Dortmund	598840	589240	571143	588250
Drensteinfurt	Stadt	Warendorf	13298	14675	15176	15556
Drolshagen	Stadt	Olpe	12039	12313	11827	11783
Duisburg	Kreisfreie Stadt	Duisburg	535250	512030	488468	498686
Dülmen	Stadt	Coesfeld	44277	46923	46388	46657
Düren	Stadt	Düren	90274	92292	88789	91216
Düsseldorf	Kreisfreie Stadt	Düsseldorf	571030	570765	586291	621877
Eitorf	Gemeinde	Rhein-Sieg-Kreis	18031	19599	18762	18749
Elsdorf	Stadt	Rhein-Erft-Kreis	21343	21740	20818	21807
Emmerich am Rhein	Stadt	Kleve	29285	29005	29918	30961
Emsdetten	Stadt	Steinfurt	33665	35235	35236	36029
Engelskirchen	Gemeinde	Oberbergischer Kreis	20442	20829	19368	19298
Enger	Stadt	Herford	18925	20007	20439	20490
